1.626 3.3142 4.0219 4.3295 4.6907 5.3114 4.743 6.1627 5.6093 2.9377
3.3448 7.8215 10.806 11.819 13.528 15.094 15.036 18.424 19.082 10.532
2.9507 11.531 16.519 19.659 23.548 26.704 24.402 34.055 34.879 20.331
3.4464 23.839 53.587 88.682 139.99 203.9 242.61 412.08 490.85 329.54
3.1527 24.831 57.301 96.7 154.69 223.31 270.92 449.51 542.13 372.54
2.5171 26.856 59.83 104.52 162.47 242.55 289.82 476.87 578.71 401.38
2.1079 26.376 62.871 105.41 170.74 245.13 304.18 506.69 614.49 417.39
1.9019 23.793 63.761 104.76 176.31 256.88 311.2 526.08 629.74 432.41
1.7134 21.328 62.272 104.79 173.61 264.89 311.94 528.3 642.18 446.81
1.3578 20.498 57.994 105.7 169.77 265.46 318.72 525.86 655.65 451.23
1.1714 17.574 53.037 103.64 161.65 257.06 321.79 540.25 654.55 461.02
0.99332 16.533 47.517 98.274 161.81 253.71 313.85 540.22 655.99 455.17
0.9218 13.365 41.652 92.432 160.77 244.58 308.9 533.44 663.19 450.98
0.85097 5.7055 12.461 17.528 18.379 19.321 18.255 22.579 21.95 12.436
0.86936 4.8448 12.005 16.878 19.194 19.309 17.522 22.719 21.821 12.558
0.85403 4.3192 11.106 14.225 18.773 19.932 17.37 22.109 21.876 13.199
0.84354 4.0039 9.967 13.836 19.842 19.974 17.341 24.609 22.322 12.794
0.83441 3.748 9.4993 13.761 18.96 20.938 18.515 23.58 24.169 13.355
0.85834 3.6372 9.0925 13.469 18.944 20.091 18.182 24.905 23.659 13.804
0.89969 3.2817 8.2136 12.559 15.927 20.614 18.723 25.207 26.507 14.337
0.87236 2.2591 6.9404 12.265 14.509 21.102 19.216 25.304 23.419 15.266
