0.20754 0.21593 0.22711 0.21295 0.21127 0.18175 0.18914 0.17705 0.17404 0.14896 0.13846
0.21309 0.32148 0.32353 0.34166 0.34207 0.31401 0.29471 0.28289 0.27182 0.26529 0.22798
0.23462 0.39995 0.45304 0.5191 0.61386 0.62199 0.65575 0.67332 0.69357 0.70483 0.71728
0.2454 0.34275 0.55339 0.57784 0.6946 0.72546 0.76197 0.77581 0.80741 0.81964 0.82909
0.27022 0.29754 0.56803 0.62289 0.67411 0.76153 0.8128 0.85796 0.87424 0.87826 0.89596
0.2451 0.31409 0.50795 0.62447 0.70181 0.73565 0.84302 0.88782 0.91268 0.93642 0.96104
0.21232 0.31038 0.44388 0.59885 0.71416 0.71999 0.80395 0.87597 0.90295 0.92721 0.94199
0.18043 0.281 0.39284 0.5377 0.65389 0.68576 0.73867 0.82647 0.88322 0.90757 0.94714
0.15259 0.21705 0.35182 0.45971 0.6011 0.64208 0.67673 0.75429 0.81665 0.85973 0.87841
0.10921 0.17712 0.28178 0.38195 0.53403 0.58336 0.67346 0.69378 0.74337 0.81754 0.86771
0.085392 0.15926 0.2498 0.33731 0.43955 0.51938 0.59609 0.65287 0.69419 0.70885 0.7964
0.076071 0.13431 0.18676 0.29024 0.38059 0.44502 0.54927 0.59632 0.64258 0.69957 0.72595
0.063856 0.11955 0.17051 0.2161 0.2582 0.25357 0.26917 0.26787 0.26517 0.27333 0.26532
0.053187 0.1057 0.13261 0.1881 0.23307 0.2347 0.24747 0.24265 0.24161 0.24682 0.24112
0.050795 0.10201 0.11966 0.15645 0.20026 0.22101 0.23085 0.23188 0.23536 0.22059 0.22358
